transaction_id,customer_id,product_id,quantity,unit_price,total_amount,transaction_date,payment_method
1001,C101,P001,2,29.99,59.98,2024-01-15,credit_card
1002,C102,P003,1,149.99,149.99,2024-01-15,debit_card
1003,C101,P002,3,9.99,29.97,2024-01-15,credit_card
1004,C103,P001,1,29.99,29.99,2024-01-15,cash
1005,C104,P004,2,79.99,159.98,2024-01-15,credit_card
1006,C102,P002,5,9.99,49.95,2024-01-15,debit_card
1007,C105,P003,1,149.99,149.99,2024-01-15,credit_card
1008,C101,P005,1,299.99,299.99,2024-01-15,credit_card
1009,C106,P001,4,29.99,119.96,2024-01-15,cash
1010,C103,P004,1,79.99,79.99,2024-01-15,debit_card
1011,C107,P002,2,9.99,19.98,2024-01-16,credit_card
1012,C104,P003,1,149.99,149.99,2024-01-16,credit_card
1013,C108,P001,3,29.99,89.97,2024-01-16,cash
1014,C105,P005,1,299.99,299.99,2024-01-16,debit_card
1015,C109,P004,2,79.99,159.98,2024-01-16,credit_card
