gender,race_ethnicity,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score
female,group D,high school,free/reduced,completed,44,41,39
male,group C,some college,standard,completed,39,44,52
male,group E,masters degree,standard,completed,59,58,57
male,group A,some high school,standard,completed,80,87,88
female,group E,some high school,standard,completed,59,68,60
female,group A,associates degree,standard,none,86,83,94
female,group B,bachelors degree,standard,none,83,96,89
male,group A,some college,standard,none,72,73,69
male,group D,bachelors degree,free/reduced,completed,71,78,80
male,group C,associates degree,standard,completed,72,78,65
female,group B,some high school,standard,none,63,77,66
male,group A,bachelors degree,standard,completed,57,65,69
male,group E,bachelors degree,standard,none,59,68,68
female,group B,some high school,standard,none,48,56,65
female,group B,some college,standard,completed,39,34,36
female,group A,some high school,standard,completed,80,78,94
female,group B,bachelors degree,standard,completed,62,67,62
male,group E,some college,free/reduced,none,68,70,62
female,group B,some college,free/reduced,none,78,73,79
female,group E,some high school,standard,none,47,54,47
male,group A,bachelors degree,standard,none,60,64,52
female,group C,associates degree,standard,none,63,71,70
female,group B,bachelors degree,standard,completed,91,90,92
female,group C,high school,standard,none,55,56,51
female,group E,masters degree,standard,completed,31,29,27
male,group B,associates degree,standard,completed,57,63,62
female,group D,some college,standard,none,89,90,89
female,group C,associates degree,standard,none,41,42,39
male,group B,some college,free/reduced,completed,53,49,53
female,group C,some college,free/reduced,none,75,81,78
male,group B,associates degree,free/reduced,completed,99,100,100
female,group A,some college,standard,completed,49,39,48
female,group C,some college,free/reduced,completed,44,46,50
male,group D,high school,standard,completed,71,72,76
male,group D,bachelors degree,free/reduced,none,84,85,91
male,group E,bachelors degree,standard,none,57,65,54
female,group B,masters degree,free/reduced,none,49,46,42
female,group C,masters degree,standard,none,65,70,73
male,group E,high school,free/reduced,none,66,78,73
female,group C,masters degree,free/reduced,none,83,100,86
female,group B,associates degree,standard,completed,81,79,62
female,group D,some high school,standard,none,74,80,87
female,group A,some high school,free/reduced,none,62,68,57
male,group D,some high school,standard,none,100,100,100
female,group E,high school,free/reduced,none,55,67,66
male,group A,high school,standard,none,61,68,57
female,group E,some college,standard,none,92,95,99
male,group B,some high school,standard,none,42,48,49
male,group A,associates degree,standard,none,39,43,35
female,group E,masters degree,free/reduced,completed,71,73,70
male,group B,associates degree,standard,completed,61,73,64
male,group D,masters degree,standard,completed,66,62,68
male,group B,some high school,standard,none,88,89,80
male,group C,some high school,standard,completed,45,49,54
male,group B,some high school,free/reduced,completed,68,65,69
male,group B,high school,free/reduced,none,59,76,64
female,group C,masters degree,standard,completed,56,55,63
female,group E,high school,free/reduced,none,58,73,66
female,group E,high school,free/reduced,completed,86,92,87
female,group B,bachelors degree,standard,completed,89,91,100
female,group C,associates degree,free/reduced,none,73,85,84
female,group C,associates degree,standard,completed,30,36,29
male,group D,some college,standard,none,61,78,71
female,group E,high school,free/reduced,completed,62,65,69
female,group A,masters degree,standard,none,81,92,68
male,group E,bachelors degree,free/reduced,completed,69,70,66
female,group E,bachelors degree,free/reduced,none,84,95,90
male,group D,associates degree,standard,none,76,76,77
female,group A,high school,free/reduced,none,87,98,85
male,group D,some college,standard,completed,61,64,63
male,group A,high school,standard,completed,65,63,73
female,group B,some high school,standard,completed,74,67,81
female,group A,high school,free/reduced,completed,55,63,64
male,group D,some high school,standard,none,51,57,60
male,group E,some high school,standard,none,54,63,59
male,group A,some college,free/reduced,none,60,58,55
male,group A,masters degree,free/reduced,none,72,88,82
female,group C,associates degree,free/reduced,none,35,44,43
female,group E,high school,standard,none,42,45,38
